2015 07 18    7.72   22.94   17.17   25.90   18.18   22.10              0.27              0.27              -999              2.99
2015 07 19    6.73   23.63   19.41   26.72   19.99   23.14              0.36              0.36              -999              4.13
2015 07 20   10.32   26.26   20.56   30.83   20.50   25.48              0.22              0.22              -999              2.41
2015 07 21    9.63   26.44   21.24   30.66   21.04   25.14              0.44              0.44              -999              4.92
2015 07 22    8.20   27.29   21.84   30.69   22.49   26.20              0.42              0.42              -999              4.73
2015 07 23    7.16   26.55   22.21   29.66   22.50   25.63              0.32              0.32              -999              3.53
2015 07 24    3.33   24.85   23.22   26.61   23.27   24.66              0.11              0.11              -999              1.19
2015 07 25    3.45   24.50   23.45   26.65   23.20   24.52              0.09              0.09              -999              0.94
2015 07 26    4.74   24.79   22.57   27.15   22.41   24.52              0.30              0.30              -999              3.40
2015 07 27    6.23   25.07   22.09   27.96   21.73   24.53              0.26              0.26              -999              2.88
2015 07 28    6.04   25.60   22.41   28.47   22.43   25.06              0.52              0.52              -999              5.65
2015 07 29    4.86   25.41   24.15   27.89   23.03   25.32              0.26              0.26              -999              2.85
2015 07 30    6.21   26.18   23.86   29.68   23.47   26.05              0.48              0.48              -999              5.35
2015 07 31    5.38   26.13   23.69   28.68   23.30   25.76              0.43              0.43              6.35              4.73
2015 08 01    5.93   25.89   22.92   28.71   22.78   25.60              0.44              0.44              -999              4.76
2015 08 02    5.32   25.95   23.62   28.49   23.16   25.57              0.32              0.32              -999              3.39
2015 08 03    5.43   25.97   23.65   28.83   23.40   25.78              0.47              0.47              -999              5.06
2015 08 04    5.42   25.95   23.50   28.77   23.35   25.72              0.44              0.44              -999              4.79
2015 08 05    5.34   25.64   23.63   28.14   22.79   25.60              0.47              0.47              -999              5.01
2015 08 06    7.62   26.09   22.28   29.72   22.10   26.19              0.59              0.59              -999              6.46
2015 08 07    7.82   27.71   22.47   31.88   24.06   28.21              0.58              0.58              6.55              6.34
2015 08 08    7.03   25.93   22.65   29.62   22.58   26.03              0.31              0.31              -999              3.29
2015 08 09    5.96   25.38   21.96   28.10   22.14   24.72              0.49              0.49              -999              5.28
2015 08 10    7.37   25.44   21.81   28.65   21.28   24.85              0.52              0.52              -999              5.53
